id	images	category	texts	attribute_names	attribute_values
B00TGS2H7Q	B00TGS2H7Q.jpg	Shirts & Tops	[Title] LAT Ladies' Fine Jersey Raglan Baseball Tee	Sleeve Style	3/4 Sleeve
B00I486JRS	B00I486JRS.jpg	Shirts & Tops	[Title] Yizzam- Edgar Allan Poe -New Ladies Womens	Sleeve Style	3/4 Sleeve
B007HIJO8C	B007HIJO8C.jpg	Dresses	[Title] Ali Ro Women's Paisley Matte Jersey Dress	Sleeve Style	3/4 Sleeve
B00PGVGHVO	B00PGVGHVO.jpg	Dresses	[Title] Doublju Women Casual Colorful Plus Size Dress ROYALBLUE,3XL	Sleeve Style	3/4 Sleeve
B00H4P6012	B00H4P6012.jpg	Shirts & Tops	[Title] 2LUV Women's V-Neck Button Top	Sleeve Style	3/4 Sleeve
B00L62LI2U	B00L62LI2U.jpg	Dresses	[Title] BCBGMAXAZRIA Women's Victoria A-Line Dress	Sleeve Style	3/4 Sleeve
B01FS4MNYS	B01FS4MNYS.jpg	Dresses	[Title] OUGES Women's Bohemian Faux Wrap Maxi Dress with Pocket	Sleeve Style	3/4 Sleeve
B00Q57PEVC	B00Q57PEVC.jpg	Dresses	[Title] KRISP Womens Paisley Swing Flare Dress Stretch Lace Retro Skater	Sleeve Style	3/4 Sleeve
B011DEDJCM	B011DEDJCM.jpg	Shirts & Tops	[Title] Womens Ladies Fashion Asymmetrical Top with Cutouts	Sleeve Style	3/4 Sleeve
B00MHRK9GE	B00MHRK9GE.jpg	Shirts & Tops	[Title] Robert Graham Men's Salvation Long Sleeve Shirt	Neckline	Button Down
B00FZVX8UI	B00FZVX8UI.jpg	Shirts & Tops	[Title] IZOD Men's Short Sleeve Slim Fit Horizontal Stripe	Neckline	Button Down
B00E20KP5E	B00E20KP5E.jpg	Shirts & Tops	[Title] Dakine Women's Paloma Shirt	Neckline	Button Down
B00LCS7O1M	B00LCS7O1M.jpg	Shirts & Tops	[Title] Rails Women's Keira Polka Dot Shirt	Neckline	Button Down
B01CS10WTM	B01CS10WTM.jpg	Shirts & Tops	[Title] Kenneth Gordon Men's Multi Check Sportshirt	Neckline	Button Down
B00HA3I9JY	B00HA3I9JY.jpg	Shirts & Tops	[Title] Van Heusen Men's Originals Long Sleeve Gradient Grid	Neckline	Button Down
B00K3JEY8M	B00K3JEY8M.jpg	Shirts & Tops	[Title] Hatley Little Boys' Shirt	Neckline	Button Down
B00CBNK75C	B00CBNK75C.jpg	Shirts & Tops	[Title] MOD 20 Women's Peep Shoulder Shirt	Neckline	Button Down
B005DMY83A	B005DMY83A.jpg	Shirts & Tops	[Title] French Toast Girls' Long Sleeve Oxford	Neckline	Button Down
B00HV6KB5K	B00HV6KB5K.jpg	Shirts & Tops	[Title] IZOD Men's Long Sleeve Stretch Performance Gingham Shirt	Neckline	Button Down
B00EVRY9SW	B00EVRY9SW.jpg	Pants	[Title] Gloria Vanderbilt Amanda Classic Fit Belted Cuffed Jeans (Fiesta Pink, 12)	Length	Capri
B01D9Q7Y0A	B01D9Q7Y0A.jpg	Pants	[Title] PattyCandy Womens Skousers Flared Hem Culottes Pants, XS-5XL	Length	Capri
B00X4HKR8G	B00X4HKR8G.jpg	Pants	[Title] Alfani Tummy Control Stretch , Summer Straw	Length	Capri
B010OQIVYG	B010OQIVYG.jpg	Pants	[Title] Mountain Hardwear Yuma - Women's	Length	Capri
B009MKURL6	B009MKURL6.jpg	Pants	[Title] Salomon Women's Wayfarer	Length	Capri
B01DUME32U	B01DUME32U.jpg	Pants	[Title] Simlu Jeggings for Women Pull on High Waisted Jeggings Skinny Jeans with Pockets	Length	Capri
B00ZDRBSW4	B00ZDRBSW4.jpg	Pants	[Title] Southpole Junior's French Terry Cargo Pants	Length	Capri
B016B9TWNY	B016B9TWNY.jpg	Pants	[Title] GLORIA VANDERBILT Women's Plus Size Dahlia Drawstring	Length	Capri
B00OT3B4K4	B00OT3B4K4.jpg	Pants	[Title] Mod-o-doc Womens French Terry	Length	Capri
B015OGQEZE	B015OGQEZE.jpg	Pants	[Title] Yummie Women's Cotton Wow Jocelyn	Length	Capri
