id	images	category	texts	attribute_names	attribute_values
B00B8JHXGG	B00B8JHXGG.jpg	Cheese	[Title] Applegate, Natural RBGH Free Monterey Jack Jalapeno Cheese , 8oz	Form	Sliced
B005PIJ5OY	B005PIJ5OY.jpg	Herbs & Spices	[Title] Dizzy Pig BBQ Coarse Grind Regular Spice - 7.4 Oz	Form	Rub
B000EZSFXU	B000EZSFXU.jpg	Jerky	[Title] SnackMasters Beef Jerky, Teriyaki, 2-Ounce Packages (Pack of 8)	Form	Sliced
B000EZMRQ6	B000EZMRQ6.jpg	Jerky	[Title] SnackMasters California Style Beef Jerky, Hot & Spicy, 2-Ounce Packages (Pack of 8)	Form	Sliced
B00NT8JWV8	B00NT8JWV8.jpg	Jerky	[Title] Biltong - Grass Fed Seasoned Dried Beef 8oz pack	Form	Sliced
B009FRH700	B009FRH700.jpg	Candy & Chocolate	[Title] Kanro Premium Milk , 2.81 Ounce	Candy Variety	Taffy
B001THSLT0	B001THSLT0.jpg	Candy & Chocolate	[Title] Go Organic Candy, 3.5 oz	Candy Variety	Hard Candy
B007FFNZK0	B007FFNZK0.jpg	Candy & Chocolate	[Title] The People Gin Gin's - Double Strength Hard Candies - 1 lb Bag	Candy Variety	Hard Candy
B000F2SNDE	B000F2SNDE.jpg	Candy & Chocolate	[Title] Teene Beanee Luxor, 8.5-Ounce Bags (Pack of 12)	Candy Variety	Licorice
B00UTHESMA	B00UTHESMA.jpg	Candy & Chocolate	[Title] Fini Wonder Mix (12pk x 3.5oz/100g) - Kosher/Halal	Container	Bag
B00IV30NWS	B00IV30NWS.jpg	Candy & Chocolate	[Title] Lily's Sweets Chocolate Bar Creamy Milk, 3 oz - of 12	Container	Box
B00403U9KE	B00403U9KE.jpg	Candy & Chocolate	[Title] Walkers Liquorice Nonsuch Toffee - of 12 x 150g	Container	Bag
B000HE8NDA	B000HE8NDA.jpg	Candy & Chocolate	[Title] Rowntrees Jelly Tots of 36	Container	Bag
B00PCJDSAI	B00PCJDSAI.jpg	Candy & Chocolate	[Title] Seattle Chocolates Bar Trio, 7.5 Ounce	Occasion	Christmas
B009ZJGYPW	B009ZJGYPW.jpg	Candy & Chocolate	[Title] Lindt LINDOR Tree Milk Chocolate Truffles, Kosher, 5.9 Ounce Box	Occasion	Christmas
B00681TEQQ	B00681TEQQ.jpg	Candy & Chocolate	[Title] Kisses Milk Chocolate Santa Hat, 1.45-Ounce Packages (Pack of 18)	Occasion	Christmas
B005F3I9CI	B005F3I9CI.jpg	Candy & Chocolate	[Title] Lindt Milk Chocolate Santa, Hollow, 4.4 Ounce (Pack of 18)	Occasion	Christmas
B000UUMOK4	B000UUMOK4.jpg	Candy & Chocolate	[Title] Candy Tree Organic Laces, 2.6-Ounce Packages (Pack of 12)	Candy Variety	Licorice
B0188086R2	B0188086R2.jpg	Candy & Chocolate	[Title] Super Mario Candy 45g	Candy Variety	Gummy/Chewy
B00K0FTBXC	B00K0FTBXC.jpg	Candy & Chocolate	[Title] Orbit for Kids Grape Sugarfree , (Pack of 12)	Candy Variety	Gum
B00C584AOM	B00C584AOM.jpg	Candy & Chocolate	[Title] Yankee Traders Old Fashioned Striped Balls, Clove, 2 Pound	Candy Variety	Hard Candy
B000ETXOB4	B000ETXOB4.jpg	Candy & Chocolate	[Title] Tic Tac Silvers Family Pack, 3.5-Ounce Boxes (Pack of 12)	Candy Variety	Mint
B003A1AT2A	B003A1AT2A.jpg	Candy & Chocolate	[Title] Eda's Sugar Free Intense Pina Colada , ONE POUND, individually wrapped, OU Parve, Uses Sorbitol, Low Sodium	Candy Variety	Hard Candy
B008474YD0	B008474YD0.jpg	Candy & Chocolate	[Title] Trident White Sugar Free Spearmint , 16 Count, 9 Pack	Candy Variety	Gum
B004ZWRAKM	B004ZWRAKM.jpg	Candy & Chocolate	[Title] Dentyne Ice Sugar-Free (Peppermint, 50 Piece, Pack of 9)	Candy Variety	Mints
B000EZURRC	B000EZURRC.jpg	Candy & Chocolate	[Title] Kasugai Japanese Candy, Apple Flavor, 4.76-Ounce Bags (Pack of 12)	Candy Variety	Gummy/Chewy
B00C584C22	B00C584C22.jpg	Candy & Chocolate	[Title] Yankee Traders Yankee Trader , Assortment Mix, 2 Pound	Candy Variety	Hard Candy
B00BF44KYW	B00BF44KYW.jpg	Candy & Chocolate	[Title] Haribo Dinosaurs Candy (5 oz Bag)	Candy Variety	Gummy/Chewy
B00E0MYAKU	B00E0MYAKU.jpg	Candy & Chocolate	[Title] Brach's Cinnamon 6.8 pounds Brachs Cinnamon Disks Brach Candy	Candy Variety	Hard Candy
B00N2ZPZ3C	B00N2ZPZ3C.jpg	Candy & Chocolate	[Title] Claey's Old Fashioned Wild Cherry Pack of 6	Candy Variety	Hard Candy
B0029JFZZU	B0029JFZZU.jpg	Candy & Chocolate	[Title] Xyla with Xylitol, Spearmint, 12-Piece Packs (Pack of 6)	Candy Variety	Gum
B00H3T482C	B00H3T482C.jpg	Candy & Chocolate	[Title] Dentyne Fire Sugar Free Spicy Cinnamon - 3 PK	Candy Variety	Gum
B009IFOTNM	B009IFOTNM.jpg	Candy & Chocolate	[Title] Candy Gift Bag, Fruit Bowl	Candy Variety	Jelly Beans
B001QZFY1S	B001QZFY1S.jpg	Candy & Chocolate	[Title] Wrigleys Extra Winterfresh , 15 Count Sticks (Pack of 10)	Candy Variety	Gum
B0014C3QQ8	B0014C3QQ8.jpg	Candy & Chocolate	[Title] Ice Breakers Sugar Free , Cool Mint (pack of 8)	Candy Variety	Mints
B003IMRNM0	B003IMRNM0.jpg	Candy & Chocolate	[Title] Hickory Harvest Cherry Twist, 8-Ounce Bags (Pack of 12)	Candy Variety	Licorice
B00N1B28FA	B00N1B28FA.jpg	Candy & Chocolate	[Title] Coffee Tins 2-Flavor Variety: One 7 oz Retro Tin of Rademaker Hopjes Coffee Candy and One 1.5 oz Tin of Rendez Vous All Natural French Roasted Coffee Candy in a Gift Box	Candy Variety	Hard Candy
B0012XH7VO	B0012XH7VO.jpg	Candy & Chocolate	[Title] YumEarth Organic Zest Drops, 3.3 Ounce Pouches (Packaging May Vary) (Pack of 6)	Candy Variety	Gummy/Chewy
B000NMI78W	B000NMI78W.jpg	Candy & Chocolate	[Title] Sour Burger - Mini Gummi Hamburger 60 pieces	Candy Variety	Gummy/Chewy
B0019S7JAG	B0019S7JAG.jpg	Candy & Chocolate	[Title] Jila , Peppermint, 0.95-Ounce Packages (Pack of 12)	Candy Variety	Mints
B00BI77Z3E	B00BI77Z3E.jpg	Candy & Chocolate	[Title] Tree Hugger All Natural Bubble , Fantastic Fruit, 1.6 Ounce (Pack of 12)	Candy Variety	Gum
B008ZLUP5Q	B008ZLUP5Q.jpg	Candy & Chocolate	[Title] Dentyne Ice Mint Variety , 12 Count	Candy Variety	Gum
B001SATZOS	B001SATZOS.jpg	Candy & Chocolate	[Title] Brach's Starbrites Spearmint , 6.31 Pound Bulk Candy Bag	Candy Variety	Mints
B00ESK3ERO	B00ESK3ERO.jpg	Candy & Chocolate	[Title] Jolly Rancher Sugar Free , 3.6 oz Bag (Pack of 3)	Candy Variety	Hard Candy
B00MXKLGNK	B00MXKLGNK.jpg	Candy & Chocolate	[Title] Jolly Rancher Awesome Reds Assortment, 13 oz	Candy Variety	Hard Candy
B00KAFJKGK	B00KAFJKGK.jpg	Candy & Chocolate	[Title] Eda's Sugar Free Watermelon , Individually Wrapped, Ou Parve, Uses Sorbitol, Low Sodium 1lb	Candy Variety	Hard Candy
B000FIZW5U	B000FIZW5U.jpg	Candy & Chocolate	[Title] Ricochet with Xylitol, Lemon-Lime, 100-Count (Pack of 6)	Candy Variety	Mints
B00008RCMI	B00008RCMI.jpg	Candy & Chocolate	[Title] Dentyne Ice Sugarless , Peppermint - 12x4 = 48 Packs	Candy Variety	Gum
