id	images	category	texts	attribute_names	attribute_values
B01ESF401W	B01ESF401W.jpg	Shoes	[Title] Rampage Women's Tarragon Ankle	Shaft Height	Ankle Boot
B002DW8WT4	B002DW8WT4.jpg	Shoes	[Title] Everybody Women's Monza	Shaft Height	Ankle Boot
B003M0ND9K	B003M0ND9K.jpg	Shoes	[Title] Anne Klein Women's Dalayne Ankle	Shaft Height	Ankle Boot
B00PW0SBXG	B00PW0SBXG.jpg	Shoes	[Title] Rck Bella Chucky-1 Women's Elegant Middle Heel Rhinestone , Color:BROWN, Size:5.5	Shaft Height	Ankle Boot
B019J18ZFM	B019J18ZFM.jpg	Shoes	[Title] Circus by Sam Edelman Women's Holt	Shaft Height	Ankle Boot
B00590O1P6	B00590O1P6.jpg	Shoes	[Title] Clarks Toddler Wallabee	Shaft Height	Ankle Boot
B0093KHH1I	B0093KHH1I.jpg	Shoes	[Title] Liliana Women's Reseda-36	Shaft Height	Ankle Boot
B017MH2Y70	B017MH2Y70.jpg	Shoes	[Title] Lucky Brand Kitte Women US 5.5 Black	Shaft Height	Ankle Boot
B00ARBTO2W	B00ARBTO2W.jpg	Shoes	[Title] Michael Antonio Women's Kanza	Shaft Height	Ankle Boot
B00H83KRQ4	B00H83KRQ4.jpg	Shoes	[Title] Nike Girl's Jordan Flight 45 High (GS) Grade School Shoes 524864-009 (SIZE: 7Y)	Athletic Shoe Style	Basketball
B00IJ5F1JI	B00IJ5F1JI.jpg	Shoes	[Title] Jordan Nike Men's Court Vision 99 Black/White/Gym Red/Dark Grey Shoe 11 Men US	Athletic Shoe Style	Basketball
B002VGUVX2	B002VGUVX2.jpg	Shoes	[Title] Nike Jordan Men's Air Jordan 1 Mid Blk/Gym Rd/Mtlc Gold Str/Gm Ryl Shoe 10 Men US	Athletic Shoe Style	Basketball
B00OVCK6HK	B00OVCK6HK.jpg	Shoes	[Title] Jordan Nike Men's Flight 97 Black/White/Gym Red/White Shoe 8.5 Men US	Athletic Shoe Style	Basketball
B00AQ9KDKM	B00AQ9KDKM.jpg	Shoes	[Title] Nike Black Air Visi Pro IV Shoes - Men	Athletic Shoe Style	Basketball
B00CFQN7HA	B00CFQN7HA.jpg	Shoes	[Title] NIKE KD V Elite Mens Shoes 585386-400	Athletic Shoe Style	Basketball
B00AQA8BP0	B00AQA8BP0.jpg	Shoes	[Title] Nike Men's Hyperquickness TB Shoes-Game Royal/Silver/White-11.5	Athletic Shoe Style	Basketball
B0059D11HY	B0059D11HY.jpg	Shoes	[Title] NIKE Lebron XIII Low Mens Shoes	Athletic Shoe Style	Basketball
B000ST0LDE	B000ST0LDE.jpg	Shoes	[Title] Modern Vintage Women's Zamara	Shaft Height	Bootie
B0124GACMS	B0124GACMS.jpg	Shoes	[Title] Riverberry Women's Becca Chunky Heel Faux Snake/Leather Ankle Boots, Black, 9	Shaft Height	Bootie
B0035EQ8HM	B0035EQ8HM.jpg	Shoes	[Title] BCBGeneration Women's Carino Open-Toe	Shaft Height	Bootie
B002H9VXWG	B002H9VXWG.jpg	Shoes	[Title] FRYE Women's Carson Shortie	Shaft Height	Bootie
B005AVCMVE	B005AVCMVE.jpg	Shoes	[Title] Madden Girl Women's Dusk	Shaft Height	Bootie
B00BU0LHM4	B00BU0LHM4.jpg	Shoes	[Title] Dirty Laundry by Chinese Laundry Women's Preview	Shaft Height	Bootie
B01AKRIRFC	B01AKRIRFC.jpg	Shoes	[Title] Dr. Martens Men's Whiton Softy T Boot	Shaft Height	Bootie
B015SIDQ7C	B015SIDQ7C.jpg	Shoes	[Title] New Girl's Kid's Cute Warm Button Winter Low Calf Snow Boots Shoes (2, Black8920)	Shaft Height	Bootie
B01DQK3WL4	B01DQK3WL4.jpg	Shoes	[Title] Fergalicious Women's Trina Ankle	Shaft Height	Bootie
B00BELZZEA	B00BELZZEA.jpg	Shoes	[Title] La Canadienne Women's Sharon Leather	Shaft Height	Bootie
B006U2WOXS	B006U2WOXS.jpg	Shoes	[Title] Betsey Johnson Women's Ziah	Shaft Height	Bootie
B00CF2KIBC	B00CF2KIBC.jpg	Shoes	[Title] Amiana Women's 12-100001CR	Shaft Height	Bootie
B00EOI5UOA	B00EOI5UOA.jpg	Shoes	[Title] Women's High Heel Platform Lace Up Ankle Booties Outdoor Suede High-Reel Waterproof Faux Fur	Boot Style	Chelsea
B01276WPPC	B01276WPPC.jpg	Shoes	[Title] Aquatalia Men's Freddy Boot	Boot Style	Chelsea
B01ACNJ1VS	B01ACNJ1VS.jpg	Shoes	[Title] Lacoste Boy's Kids' Ziane Boot Toddler	Boot Style	Chelsea
B00JFCIC04	B00JFCIC04.jpg	Shoes	[Title] BC Footwear Women's Stand Up Straight Boot	Boot Style	Chelsea
B00930FNFK	B00930FNFK.jpg	Shoes	[Title] Crew Womens Armor Ankle Bootie	Boot Style	Chelsea
B01D91D3LO	B01D91D3LO.jpg	Shoes	[Title] Clarks Men's Edmen Rise Boot	Boot Style	Chelsea
B012HLQGPM	B012HLQGPM.jpg	Shoes	[Title] Bella Marie Kayla-11 Women's Almond Toe Platform Chunky Heel Elasticized Panel Suede Ankle Bootie	Boot Style	Chelsea
B00IK6Q2F8	B00IK6Q2F8.jpg	Shoes	[Title] Funtasma Men's Trooper-12 Combat Boot	Boot Style	Chelsea
B004VJ7CIY	B004VJ7CIY.jpg	Shoes	[Title] Marais USA Women's Ankle Boot	Boot Style	Chelsea
B00BFGVSCC	B00BFGVSCC.jpg	Shoes	[Title] Cole Haan Men's Lunargrand Boot	Shaft Height	Ankle Boot
B008E4TCWQ	B008E4TCWQ.jpg	Shoes	[Title] Sorel Men's Berlin -M	Shaft Height	Ankle Boot
B00E5LQO82	B00E5LQO82.jpg	Shoes	[Title] Vans Midtop Mens Style: OUAT-CI7 Size: 11	Shaft Height	Ankle Boot
B01592H4CK	B01592H4CK.jpg	Shoes	[Title] Simple Men's Allagash Boot	Shaft Height	Ankle Boot
B01HDZKT3C	B01HDZKT3C.jpg	Shoes	[Title] Bruno Marc Men's Sand Suede Leather Desert Oxford s - 11 M US	Shaft Height	Ankle Boot
B01FGKAQ9S	B01FGKAQ9S.jpg	Shoes	[Title] Cole Haan Men's Original Grand Boot	Shaft Height	Ankle Boot
B01D91CA2M	B01D91CA2M.jpg	Shoes	[Title] Clarks Men's Holmby Top Boot	Shaft Height	Ankle Boot
B00MY2J1HK	B00MY2J1HK.jpg	Shoes	[Title] CLARKS Originals Desert Boot Mens Boots	Shaft Height	Ankle Boot
B00HX07AUS	B00HX07AUS.jpg	Shoes	[Title] Hush Puppies Men's Frankie Roadside Boot	Shaft Height	Ankle Boot
B005DLQ8Q6	B005DLQ8Q6.jpg	Shoes	[Title] La Sportiva Men's TarantuLace Performance Rock	Athletic Shoe Style	Climbing Shoe
B008XECDEG	B008XECDEG.jpg	Shoes	[Title] Five Ten Women's Blackwing	Athletic Shoe Style	Climbing Shoe
B005LCPXJA	B005LCPXJA.jpg	Shoes	[Title] Scarpa Men's Helix	Athletic Shoe Style	Climbing Shoe
B0010VGAAC	B0010VGAAC.jpg	Shoes	[Title] SCARPA Men's Vision	Athletic Shoe Style	Climbing Shoe
B00402MYTO	B00402MYTO.jpg	Shoes	[Title] La Sportiva Miura VS - Women's	Athletic Shoe Style	Climbing Shoe
B00NT8GUI6	B00NT8GUI6.jpg	Shoes	[Title] CLIMB X Rockmaster with Climbing DVD, Men's US 10 Grey	Athletic Shoe Style	Climbing Shoe
B00NT9OSU2	B00NT9OSU2.jpg	Shoes	[Title] CLIMB X Redpoint with FREE Climbing DVD ($30 Value) (Men's US 9.5 Blue Geo)	Athletic Shoe Style	Climbing Shoe
B00NT9OSW0	B00NT9OSW0.jpg	Shoes	[Title] CLIMB X Redpoint with FREE Climbing DVD ($30 Value) (Men's US 12 Blue Geo)	Athletic Shoe Style	Climbing Shoe
B005WGTCCO	B005WGTCCO.jpg	Shoes	[Title] Millet Easy Up	Athletic Shoe Style	Climbing Shoe
B008XB286C	B008XB286C.jpg	Shoes	[Title] Tenaya Inti	Athletic Shoe Style	Climbing Shoe
B0187YJHJ0	B0187YJHJ0.jpg	Shoes	"[Title] Twisted X Men's 8"" Lite Work Lace-Up Boot Steel Toe - Mlcsl02"	Boot Style	Combat
B014SETJTG	B014SETJTG.jpg	Shoes	[Title] CHAMARIPA Height Increasing Insole Shoes Men Casual Boots Dress Elevator Shoes 3.54'' V1931-1	Boot Style	Combat
B00LHHET5C	B00LHHET5C.jpg	Shoes	[Title] Nature Breeze Women Leatherette Round Toe Knee High Lace Up Boot BC42 - Black	Boot Style	Combat
B00YURVDQY	B00YURVDQY.jpg	Shoes	[Title] Polar Products Womens Original Cold Weather Winter Rubber Sole Snow	Boot Style	Combat
B00LGZ37RG	B00LGZ37RG.jpg	Shoes	[Title] Forever Alyson 01 Womens Lace Up Mid Calf Boots White Print	Boot Style	Combat
B01A78R3AY	B01A78R3AY.jpg	Shoes	[Title] Rampage Womens JELIANA Round Toe Mid-Calf Boots, Brown Sweater, Size 8.5	Boot Style	Combat
B00LC96444	B00LC96444.jpg	Shoes	[Title] SODA Nevitt Ankle Bootie Lace up Boot	Boot Style	Combat
B0147OV7ZG	B0147OV7ZG.jpg	Shoes	[Title] Women Leatherette Chunky Heel Zip Lace Up Boot DA19 - Black Leatherette	Boot Style	Combat
B00K8NNMYA	B00K8NNMYA.jpg	Shoes	[Title] H By Hudson Men's Railton Boot	Boot Style	Combat
B00E1ZXYYO	B00E1ZXYYO.jpg	Shoes	[Title] T.U.K. Women's T2204 Boot	Boot Style	Combat
B00H2C0PEA	B00H2C0PEA.jpg	Shoes	[Title] West Blvd Damara-2 Boots, Brown Pu, 10	Boot Style	Combat
