id	images	category	texts	attribute_names	attribute_values
B01ENT5XWS	B01ENT5XWS.jpg	Socks	[Title] Sock It To Me Knee High Socks Gothic Lolita 80s 90s 2000s Horror Punk Nerd	Pattern	Argyle
B00AB8345Y	B00AB8345Y.jpg	Socks	[Title] Gray Blue Green Mens Dress Sock - Vannucci	Pattern	Argyle
B01801CK94	B01801CK94.jpg	Socks	[Title] Made in USA .Mid Calf Grey Purple Magenta Socks- Size 7-13	Pattern	Argyle
B00AGQA15W	B00AGQA15W.jpg	Socks	[Title] Ozone Black Red Orange Grey Mens Dress Sock	Pattern	Argyle
B00IHN077S	B00IHN077S.jpg	Socks	[Title] RARE: 1 Pair Mid-Calf ExtraFine Merino Socks - Made In Italy	Pattern	Argyle
B004FMKBX0	B004FMKBX0.jpg	Socks	[Title] Tommy Hilfiger Men's 3 Pack Crew Socks	Pattern	Argyle
B00DG0SQ6G	B00DG0SQ6G.jpg	Socks	[Title] Mens 3 Pair Gentle Grip Mix Socks	Pattern	Argyle
B0147KNTDI	B0147KNTDI.jpg	Socks	[Title] Feraricci Men's Traditional Socks Pack of 3	Pattern	Argyle
B00BABX1AE	B00BABX1AE.jpg	Socks	[Title] Blue, Sky Blue & navy Blue - Over The Knee Socks	Pattern	Argyle
B011T0ZYV4	B011T0ZYV4.jpg	Socks	[Title] Justin Boot Knee Hi Socks	Pattern	Camouflage
B01CFBNAF8	B01CFBNAF8.jpg	Underwear	[Title] Emporio Armani Men's Fancy Trunk	Pattern	Camouflage
B00ACFERR0	B00ACFERR0.jpg	Hats	[Title] Yupoong Flexfit Cap, Desert Camo, Large / X-Large	Pattern	Camouflage
B00D1HN29A	B00D1HN29A.jpg	Shoes	[Title] Merrell Men's Pulsate Waterproof Hiking Shoe	Pattern	Camouflage
B00HU4OM2Q	B00HU4OM2Q.jpg	Shoes	"[Title] Men's 10"" high, Dupont Thermolite Insulated Winter Boot"	Pattern	Camouflage
B00QHCKQHM	B00QHCKQHM.jpg	Shirts & Tops	[Title] Under Armour Men's Ua Amplify Thermal Crew	Pattern	Camouflage
B003AXHE30	B003AXHE30.jpg	Shirts & Tops	[Title] Desert Digital T-Shirt (Polyester/Cotton) Size 3X-Large	Pattern	Camouflage
B005WMMH2A	B005WMMH2A.jpg	Hats	[Title] ScentLok Men's Vertigo Logo Cap	Pattern	Camouflage
