id	images	category	texts	attribute_names	attribute_values
B00UIHV5MW	B00UIHV5MW.jpg	Shirts & Tops	[Title] Rick Owens Lilies Womens Semi-Sheer LS  T-Shirt	Neckline	Scoop Neck
B01DXSUSO8	B01DXSUSO8.jpg	Skirts	[Title] Vince Camuto Women's  Tube Skirt	Length	Midi
B00GFQDT2O	B00GFQDT2O.jpg	Shirts & Tops	[Title] Disney Men's Mickey Stand Fleece Raglan Sleeve  T-Shirt	Neckline	Crew Neck
B00A2Y32UY	B00A2Y32UY.jpg	Dresses	[Title] Calvin Klein Women's Printed  Dress	Neckline	Scoop Neck
B004Z7QM60	B004Z7QM60.jpg	Shirts & Tops	[Title] MAXSTUDIO  Top Womens Grecian Cocktail	Shoulder Style	One Shoulder
B00YGNYW38	B00YGNYW38.jpg	Dresses	[Title] PinkBlush Maternity Navy Fuchsia Printed Sash Tie  Maxi Dress, Large	Neckline	Strapless
B00IA73Y5S	B00IA73Y5S.jpg	Shirts & Tops	[Title] King Formal Wear Elegant Men's  Royal Blue Dress Shirt	Neckline	Button Down
B00H82J6R6	B00H82J6R6.jpg	Dresses	[Title] Faironly Crystal  Short Homecoming Prom Party Dress (XS, Blue)	Length	Mini/Short
B0144GOJWU	B0144GOJWU.jpg	Shirts & Tops	[Title] Oulifa Short Sleeve Letter Print  White Cotton Top T-shirt Blouse	Shoulder Style	Off Shoulder
B014WBR8AC	B014WBR8AC.jpg	Shirts & Tops	[Title] Bella Canvas Unisex Jersey  Baseball Tee	Sleeve Style	3/4 Sleeve
B00CB22X78	B00CB22X78.jpg	Skirts	[Title] Vince Camuto Women's Side Zip  Skirt	Length	Midi
B00BU5JYMO	B00BU5JYMO.jpg	Dresses	[Title] BLINGBELLE  Red Long Sleeves Dress,M	Shoulder Style	Off Shoulder
B014W4OVH2	B014W4OVH2.jpg	Dresses	[Title] Adrianna Papell Women's Color-Block Lace 	Length	Long Dress/Gown
B00NPQXNVY	B00NPQXNVY.jpg	Shirts & Tops	[Title] Mordenmiss Women's Floral Printed Tops Cotton Linen  Blouse	Neckline	Crew Neck
B00SOS8D22	B00SOS8D22.jpg	Shirts & Tops	[Title] Joe's USA(tm) - Women's Silky Touch  Polo Sport Shirts-2XL	Sleeve Style	Sleeveless
B00PAEJ048	B00PAEJ048.jpg	Shirts & Tops	[Title] LAT Girls' 100% Cotton Jersey  Tank Top	Neckline	Scoop Neck
B00C5IA1K4	B00C5IA1K4.jpg	Shirts & Tops	[Title] Sports Katz Womens 'Neon Big Print' Volleyball  T-Shirt	Sleeve Style	3/4 Sleeve
B019ZUGSW4	B019ZUGSW4.jpg	Dresses	[Title] Connected Apparel Women's Allover Print Chiffon  with Belt	Length	Mini/Short
B01C42NIVE	B01C42NIVE.jpg	Skirts	[Title] Lingswallow Women Black Striped Print Casual Party Pleated A Line 	Length	Mini/Short
B014IYS16I	B014IYS16I.jpg	Dresses	[Title] Yanzi6 Women's Retro Butterfly Print 3/4 Sleeves Lace  Dress	Length	Mini/Short
B00KIL4OYO	B00KIL4OYO.jpg	Dresses	[Title] Womens Floral Butterfly Print Party Cute Summer Skater Swing  Dress	Length	Mini/Short
B01FOB3N2G	B01FOB3N2G.jpg	Skirts	[Title] R KON Women’S Office Bodycon HIGH Waisted Printed  Skirt	Length	Midi
B00KMDVD42	B00KMDVD42.jpg	Dresses	[Title] Womens Cocktail Chiffon Lace  Sleeveless Drape Empire Waist Mini Dress	Neckline	Scoop Neck
B017MQ679C	B017MQ679C.jpg	Skirts	[Title] Limit 33 Juniors Teens Lace  Skirt High Waisted Work School Long Knee Length Ponte	Length	Midi
B00HBK9EMM	B00HBK9EMM.jpg	Shirts & Tops	[Title] CafePress - Rock Paper Scissors Lizard Spock T-Shirt - Womens Cotton  T-shirt	Neckline	V-Neck
B0158KGV72	B0158KGV72.jpg	Shirts & Tops	[Title] H'nan Women's Def Leppard Love Bites  T Shirt Red XL	Neckline	Crew Neck
B00VKVFTAO	B00VKVFTAO.jpg	Dresses	[Title] DKNYC Women's Tech Crepe  Maxi Dress	Neckline	Halter
B0113ORPOA	B0113ORPOA.jpg	Shirts & Tops	[Title] Woolrich Women's First Forks  Shirt	Sleeve Style	3/4 Sleeve
B00UBWHTQU	B00UBWHTQU.jpg	Shirts & Tops	[Title] U.S.  Assn. Juniors' Plaid Poplin Shirt	Neckline	Polo
B003U1F9VG	B003U1F9VG.jpg	Shirts & Tops	[Title] L/S  Waffle Shirt Heather XXL	Neckline	Henley
B0081TBB1O	B0081TBB1O.jpg	Dresses	[Title] Floral Palm Leaves Graphic Print Beaded  Smocked Bodice Long/Maxi Dress	Neckline	Halter
B011UPIFH8	B011UPIFH8.jpg	Shirts & Tops	[Title] Vikoros Women Beads Embroidery  Loose-fit Long Tunic Tops	Sleeve Style	3/4 Sleeve
B0037256F2	B0037256F2.jpg	Pants	[Title] Paradox Women's Hatha  Fitness Pant	Length	Capri
B00JDGDYZA	B00JDGDYZA.jpg	Dresses	[Title] CHOCOLATE PICKLE New Womens Plus Size Neon Contrast Color Block Bodycon  Dress 12-20	Length	Midi
B018EPBXIU	B018EPBXIU.jpg	Dresses	[Title] Leota Plus Women's Ilana  Dress	Sleeve Style	Short Sleeve
