id	images	category	texts	attribute_names	attribute_values
B006K3WN2E	B006K3WN2E.jpg	Tea & Infusions	[Title] Lipton Iced Tea Decaffeinated 48 Family Size Tea  10.5 Oz	Form	Bags/Packets
B00AXJG9B2	B00AXJG9B2.jpg	Candy & Chocolate	[Title] Shiroi Koibito Chocolat Blanc Langue de Chat 36 Pieces/ (Mix White and Black Chocolate) - Very Popular Souvenir Sweet From Hokkaido	Container	Box
B00ZAVA02C	B00ZAVA02C.jpg	Candy & Chocolate	[Title] Brach's Candy Corn, 18.5 Ounce 	Container	Bag
B00E0KWHH0	B00E0KWHH0.jpg	Tea & Infusions	[Title] Numi Organic Tea, White Rose, white tea, 100 Count non-GMO Bulk Tea  (Packaging May Vary)	Form	Bags/Packets
B000SW4KL0	B000SW4KL0.jpg	Hot Sauce	[Title] Goya Salsita Ancho, 8-Ounce Units (Pack of 12)	Flavor	Habanero
B00MZHN1NY	B00MZHN1NY.jpg	Candy & Chocolate	[Title] Dr Pepper Flavored  Candy Twists (2 Pack)	Candy Variety	Licorice
B004SK4KIG	B004SK4KIG.jpg	Candy & Chocolate	[Title] M&M'S Variety Pack Chocolate Candy Singles Size 30.58-Ounce 18-Count 	Container	Box
B0087RVIOU	B0087RVIOU.jpg	Sugar & Sweeteners	[Title] Sugar In The Raw, 200 Count 	Form	Bags/Packets
B00IODZ276	B00IODZ276.jpg	Sugar & Sweeteners	[Title] Naturals by Equal , 80 Count (Pack of 12)	Form	Bags/Packets
B000RJRXI6	B000RJRXI6.jpg	Candy & Chocolate	[Title] Fort Knox Chocolate Coins, It's A Boy, 16-Ounce 	Container	Bag
B000IK8VF8	B000IK8VF8.jpg	Candy & Chocolate	[Title]  Licorice Bridge Mix, Assorted Flavors, 3-Ounce Bags (Pack of 24)	Candy Variety	Jelly Beans
B0009F5B4G	B0009F5B4G.jpg	Candy & Chocolate	[Title] Japanese Fruit  Candy from Kasugai - Grape - 107g	Candy Variety	Gummy/Chewy
B017TSPK5K	B017TSPK5K.jpg	Candy & Chocolate	[Title] Lindt  Chocolate Novelty Pack, 7.2 Ounce Pack	Occasion	Easter
B0007QMT7O	B0007QMT7O.jpg	Tea & Infusions	[Title] Taylors of Harrogate Irish Breakfast, 50 	Form	Teabags
B00KO8K6VQ	B00KO8K6VQ.jpg	Popcorn	[Title] Pop Secret Microwave Popcorn, , 6 Count (Pack of 6)	Flavor	Butter
B000FKL0OA	B000FKL0OA.jpg	Candy & Chocolate	[Title] LifeSavers , 14-Ounce Bags (Pack of 12)	Candy Variety	Jelly Beans
B00EKW5G1M	B00EKW5G1M.jpg	Candy & Chocolate	[Title] Jolly Rancher Assorted Lollipops, 0.6 oz Lollipops in a BlackTie  (Pack of 50)	Container	Box
B002W2U5Q8	B002W2U5Q8.jpg	Candy & Chocolate	[Title] Lannaman's Icy , 4 Ounce	Candy Variety	Mints
B006K0DE34	B006K0DE34.jpg	Herbs & Spices	[Title] Frontier Organic Thyme Leaf Spice -  - 0.8 Ounces	Form	Flakes
B007EBIKUU	B007EBIKUU.jpg	Candy & Chocolate	[Title] WarHeads Sour Jelly Beans - 14 oz 	Container	Bag
B00542YL68	B00542YL68.jpg	Tea & Infusions	[Title] Davidson's Tea Tulsi Hibiscus Flower, 8-Count Tea  (Pack of 12)	Form	Bags/Packets
B005FC3ZH8	B005FC3ZH8.jpg	Tea & Infusions	[Title] Gaia Herbs Natural Laxative Herbal Tea, 1 Box of 16 Tea 	Form	Bags/Packets
B00IT5L7QO	B00IT5L7QO.jpg	Candy & Chocolate	[Title] Extra , Sweet Watermelon, 8.8 Ounce	Candy Variety	Gum
B000HQORW4	B000HQORW4.jpg	Soups & Broths	[Title] Bean Cuisine Split Peas , 15-Ounce Boxes (Pack of 6)	Form	Soup Mix
B00FS9T6BC	B00FS9T6BC.jpg	Candy & Chocolate	[Title] M&M'S Easter Milk Chocolate MINIS Size Candy in Tubes 1.77-Ounce Tube 24-Count 	Container	Box
B001RBYTTE	B001RBYTTE.jpg	Tea & Infusions	[Title] Zhena's Gypsy Tea, Acai Berry, 22-Count Tea  (Pack of 3)	Form	Bags/Packets
B00GAYGSNI	B00GAYGSNI.jpg	Tea & Infusions	[Title] Turkey Hill Half-Gallon Iced Tea - Three 	Form	Bottles
B0017KWNKC	B0017KWNKC.jpg	Nuts & Seeds	[Title] Kar's Nuts  Almonds, 1-Ounce Bags (Pack of 100)	Flavor	Salted
B000H024LG	B000H024LG.jpg	Candy & Chocolate	[Title] Candy Necklaces, 5-Pound 	Container	Bag
B000BXX20G	B000BXX20G.jpg	Tea & Infusions	[Title] Revolution Tea White Pear Tea, 16-Count  (Pack of 6)	Form	Teabags
