id	images	category	texts	attribute_names	attribute_values
B00DBOEFEO	B00DBOEFEO.jpg	Shoes	[Title] NIKE Air Force 1 Mens  Shoes 488298-034	Athletic Shoe Style	Basketball
B00EPDRKMO	B00EPDRKMO.jpg	Shoes	[Title] NIKE  Men's NIKE Lunar Clayton  Shoe, Black/Sail/Black, 9 D(M) US	Athletic Shoe Style	Golf
B00I8MV2ZO	B00I8MV2ZO.jpg	Shoes	[Title] Breckelle's Brina-01S Ankle T-Strap Peep Toe Faux Suede Platform Pump BLACK (6.5)	Heel Height	High Heel
B00SS39XMW	B00SS39XMW.jpg	Shoes	[Title] Climb X Icon  with Free Sickle M-16 Climbing Brush	Athletic Shoe Style	Climbing Shoe
B000UJBPH8	B000UJBPH8.jpg	Shoes	[Title] Rose Petals by  Cradles Women's Lassie Dress Sandal	Athletic Shoe Style	Walking
B00MUF5K7G	B00MUF5K7G.jpg	Shoes	[Title] Smartty Women's Jacquard Fabric Ballet 	Heel Height	Flat
B00ORM3KWM	B00ORM3KWM.jpg	Shoes	[Title] ACEFAST INC Women's Winter Warm Hidden Wedge  with Thick Fur Tassel Knit (EU39 (US 8), Camel)	Boot Style	Snow Boots
B01BQWBMSY	B01BQWBMSY.jpg	Shoes	[Title] Icebug Women's Anima4 RB9X Traction 	Athletic Shoe Style	Running Shoe
B014GAQZ5S	B014GAQZ5S.jpg	Shoes	[Title] Polar Fox MPX-808571F Men's Black Lace Up Cap Toe Military  Work Desert Ankle Boot (7)	Boot Style	Combat
B00AFB484S	B00AFB484S.jpg	Shoes	[Title] ASICS Gel-Resolution 4 Womens  Shoes	Athletic Shoe Style	Tennis
B00IRJZGEQ	B00IRJZGEQ.jpg	Shoes	[Title] NIKE Jordan Men's Air Jordan 1 Black/Black/Summit White  Shoe	Athletic Shoe Style	Basketball
B01B5GGN8U	B01B5GGN8U.jpg	Shoes	[Title] NIKE  Classic CS Suede Men's Genuine Leather Sneaker Gray 829351 100	Athletic Shoe Style	Tennis
B01EZZCEEK	B01EZZCEEK.jpg	Shoes	[Title] New Summer Women's Thick  Sandals Hasp Open Toe Platform Work Leather Dress Sandals	Heel Height	High Heel
B00Y077NZE	B00Y077NZE.jpg	Shoes	[Title] T.U.K. Women's Studded  Boot	Boot Style	Combat
B00R1X6K5S	B00R1X6K5S.jpg	Shoes	[Title] ASICS Men's GEL-Netburner Ballistic MT  Shoe	Athletic Shoe Style	Volleyball
B00SNUW8AO	B00SNUW8AO.jpg	Shoes	[Title] Dunham Men's Gavin-dun  Boot	Shaft Height	Ankle Boot
B000G3ZNR6	B000G3ZNR6.jpg	Shoes	[Title] Nike  Men's Nike Leather-M, White/Bronze/Brown, 12 M US	Athletic Shoe Style	Golf
B003MH9IC4	B003MH9IC4.jpg	Shoes	[Title] Palladium Men's Pallabrouse Baggy  Boot	Shaft Height	Ankle Boot
B019X7Y1RS	B019X7Y1RS.jpg	Shoes	[Title] BININBOX Women's Fashion Leather  Boots Black	Boot Style	Motorcycle
