id	images	category	texts	attribute_names	attribute_values
B00NILITBU	B00NILITBU.jpg	Shirts & Tops	[Title] Lady  Print Hollow Chiffon Short Sleeve Doll Collar Blouse Tops S-XL	Pattern	Floral
B00NGC3TXE	B00NGC3TXE.jpg	Messenger Bags	[Title] SHENGXILU Men's Simple Messenger Bag	Material	Canvas
B00W8EVW7Q	B00W8EVW7Q.jpg	Jewelry Holders	[Title] Black  Eiffel Tower Jewelry Organizer	Material	Metal
B01BS1VT1S	B01BS1VT1S.jpg	Underwear	[Title] Reebok 3 Pack Performance Boxer Briefs (M) Black Grey, Grey  Print, Ash Grey	Pattern	Camouflage
B00K42KY00	B00K42KY00.jpg	Shoes	[Title] Wild Rose Women Mesh Fabric Peep Toe Stiletto Heel Bootie BA26 - 	Pattern	Leopard
B019RI3O6C	B019RI3O6C.jpg	Dresses	[Title] Tuesdays2 Women V-neck  Print Spaghetti Strap Boho Long Maxi Chiffon Dresses	Pattern	Polka Dot
B003UV9PHA	B003UV9PHA.jpg	Dresses	[Title] Eight Sixty Womens Animal Dress	Pattern	Leopard
B00K1PRKP2	B00K1PRKP2.jpg	Shoes	[Title] Delicious Vodka-S Single Band Ankle Strap Sandal -  Suede	Pattern	Leopard
B007UVA5ZC	B007UVA5ZC.jpg	Shoes	[Title] BC Footwear Women's Double Down  Fashion Sneaker	Pattern	Plaid
B01E2VG9XY	B01E2VG9XY.jpg	Shoes	[Title] Ska-Doo Cold Weather Snow Boot 1319 Gray  Size 3	Pattern	Camouflage
B00LWBOXCC	B00LWBOXCC.jpg	Charms & Pendants	[Title] Jewelry Pilot Sterling Silver  Charm	Shape	Cross
B01AOCDKZU	B01AOCDKZU.jpg	Shirts & Tops	[Title] Straight Outta The Duck Blind  White Men's Tee (6.1oz)	Pattern	Camouflage
B00IS9MZVW	B00IS9MZVW.jpg	Messenger Bags	"[Title] DamnDog Haversack 16.5""  Flapover Messenger Bag - Swamp Brown"	Material	Canvas
B00JB662C4	B00JB662C4.jpg	Backpacks	[Title] J.Fold Men's Montreal  Backpack	Material	Synthetic
B00YI6NX1K	B00YI6NX1K.jpg	Dresses	[Title] Hot Pink Retro 1950s  Smock Swing Plus Size Fashion Dress	Pattern	Polka Dot
B00JZ5CTAK	B00JZ5CTAK.jpg	Hats	[Title] N'Ice Caps Boys Digital  Authentic Constructed Baseball Cap	Pattern	Camouflage
B00OQC3VVI	B00OQC3VVI.jpg	Backpacks	[Title] Vintage Unisex  Backpack School Rucksack Casual Backpack	Material	Canvas
B009CA8R40	B009CA8R40.jpg	Shorts	[Title] Cubavera Men's Flat Front Linen Blend Yarn Dyed  Short	Pattern	Plaid
